MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
3,speakToMe,0.059,72.8057,3,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n13', 'converter': 'n2', 'uploadPost': 'n13', 'metaPost': 'n2', 'publishPost': 'n13', 'convertTxt': 'n2', 'uploadAudio': 'n13', 'metaAudio': 'n2'},)"
4,speakToMe,0.058,72.8057,4,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n7', 'converter': 'n2', 'uploadPost': 'n7', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n7', 'metaAudio': 'n18'},)"
5,speakToMe,0.057,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
6,speakToMe,0.057,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
7,speakToMe,0.057,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
8,speakToMe,0.06,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
9,speakToMe,0.061,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
10,speakToMe,0.06,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
11,speakToMe,0.061,72.8057,5,1708,32,"({'textBucket': 'n16', 'audioBucket': 'n16', 'mainDB': 'n16', 'postQueue': 'n21', 'converter': 'n2', 'uploadPost': 'n21', 'metaPost': 'n18', 'publishPost': 'n7', 'convertTxt': 'n18', 'uploadAudio': 'n21', 'metaAudio': 'n18'},)"
2,arFarming,3.215,490.5428,2,77120,256,"({'mainDB': 'n122', 'imgQueue': 'n230', 'snsQueue': 'n230', 'ctrlQueue': 'n230', 'recognizer': 'n122', 'visualizer': 'n122', 'calibre': 'n230', 'rectify': 'n122', 'roiSel': 'n230'},)"
